UCMerced Buildings Dataset - Filter Performance Report
=====================================================

Configuration:
  Threads: 16
  Input folder: C:\Users\DELL\Downloads\UCMerced_LandUse\UCMerced_LandUse\Images\buildings
  Total images processed: 100

Filter Performance Summary:
===========================

Edge Detection:
  Images processed: 100
  Total time: 216.00 ms
  Average time: 2.16 ms
  Min time: 2.00 ms
  Max time: 3.00 ms

Gaussian Blur:
  Images processed: 100
  Total time: 2259.00 ms
  Average time: 22.59 ms
  Min time: 17.00 ms
  Max time: 54.00 ms

Laplacian:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 6.00 ms
  Max time: 15.00 ms

Sharpening:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 7.00 ms
  Max time: 14.00 ms

Sobel Magnitude:
  Images processed: 100
  Total time: 1458.00 ms
  Average time: 14.58 ms
  Min time: 11.00 ms
  Max time: 24.00 ms

Sobel X:
  Images processed: 100
  Total time: 1484.00 ms
  Average time: 14.84 ms
  Min time: 11.00 ms
  Max time: 23.00 ms

Sobel Y:
  Images processed: 100
  Total time: 210.00 ms
  Average time: 2.10 ms
  Min time: 2.00 ms
  Max time: 5.00 ms


Detailed Results:
=================

Image Name                    Filter              Time (ms)      Status    
buildings12                   Sobel X             12.00          OK        
buildings13                   Sobel X             13.00          OK        
buildings14                   Sobel X             15.00          OK        
buildings15                   Sobel X             13.00          OK        
buildings16                   Sobel X             19.00          OK        
buildings17                   Sobel X             14.00          OK        
buildings18                   Sobel X             16.00          OK        
buildings19                   Sobel X             13.00          OK        
buildings20                   Sobel X             21.00          OK        
buildings21                   Sobel X             18.00          OK        
buildings22                   Sobel X             17.00          OK        
buildings23                   Sobel X             16.00          OK        
buildings24                   Sobel X             15.00          OK        
buildings25                   Sobel X             17.00          OK        
buildings26                   Sobel X             13.00          OK        
buildings27                   Sobel X             12.00          OK        
buildings28                   Sobel X             14.00          OK        
buildings29                   Sobel X             12.00          OK        
buildings30                   Sobel X             19.00          OK        
buildings31                   Sobel X             12.00          OK        
buildings32                   Sobel X             13.00          OK        
buildings33                   Sobel X             13.00          OK        
buildings34                   Sobel X             12.00          OK        
buildings35                   Sobel X             20.00          OK        
buildings36                   Sobel X             13.00          OK        
buildings37                   Sobel X             12.00          OK        
buildings38                   Sobel X             14.00          OK        
buildings39                   Sobel X             13.00          OK        
buildings40                   Sobel X             14.00          OK        
buildings41                   Sobel X             20.00          OK        
buildings42                   Sobel X             12.00          OK        
buildings43                   Sobel X             15.00          OK        
buildings44                   Sobel X             16.00          OK        
buildings45                   Sobel X             20.00          OK        
buildings46                   Sobel X             14.00          OK        
buildings47                   Sobel X             13.00          OK        
buildings48                   Sobel X             14.00          OK        
buildings49                   Sobel X             14.00          OK        
buildings50                   Sobel X             19.00          OK        
buildings51                   Sobel X             14.00          OK        
buildings52                   Sobel X             13.00          OK        
buildings53                   Sobel X             12.00          OK        
buildings54                   Sobel X             14.00          OK        
buildings55                   Sobel X             17.00          OK        
buildings56                   Sobel X             18.00          OK        
buildings57                   Sobel X             13.00          OK        
buildings58                   Sobel X             12.00          OK        
buildings59                   Sobel X             15.00          OK        
buildings60                   Sobel X             14.00          OK        
buildings61                   Sobel X             11.00          OK        
buildings62                   Sobel X             19.00          OK        
buildings63                   Sobel X             12.00          OK        
buildings64                   Sobel X             14.00          OK        
buildings65                   Sobel X             18.00          OK        
buildings66                   Sobel X             13.00          OK        
buildings67                   Sobel X             12.00          OK        
buildings68                   Sobel X             20.00          OK        
buildings69                   Sobel X             12.00          OK        
buildings70                   Sobel X             16.00          OK        
buildings71                   Sobel X             14.00          OK        
buildings72                   Sobel X             11.00          OK        
buildings73                   Sobel X             11.00          OK        
buildings74                   Sobel X             13.00          OK        
buildings75                   Sobel X             15.00          OK        
buildings76                   Sobel X             17.00          OK        
buildings77                   Sobel X             14.00          OK        
buildings78                   Sobel X             13.00          OK        
buildings79                   Sobel X             13.00          OK        
buildings80                   Sobel X             18.00          OK        
buildings81                   Sobel X             13.00          OK        
buildings82                   Sobel X             18.00          OK        
buildings83                   Sobel X             14.00          OK        
buildings84                   Sobel X             20.00          OK        
buildings85                   Sobel X             22.00          OK        
buildings86                   Sobel X             17.00          OK        
buildings87                   Sobel X             22.00          OK        
buildings88                   Sobel X             16.00          OK        
buildings89                   Sobel X             19.00          OK        
buildings90                   Sobel X             13.00          OK        
buildings91                   Sobel X             11.00          OK        
buildings92                   Sobel X             16.00          OK        
buildings93                   Sobel X             14.00          OK        
buildings94                   Sobel X             13.00          OK        
buildings95                   Sobel X             18.00          OK        
buildings96                   Sobel X             15.00          OK        
buildings97                   Sobel X             13.00          OK        
buildings98                   Sobel X             13.00          OK        
buildings99                   Sobel X             15.00          OK        
buildings00                   Sobel Y             5.00           OK        
buildings01                   Sobel Y             3.00           OK        
buildings02                   Sobel Y             2.00           OK        
buildings03                   Sobel Y             2.00           OK        
buildings04                   Sobel Y             2.00           OK        
buildings05                   Sobel Y             2.00           OK        
buildings06                   Sobel Y             2.00           OK        
buildings07                   Sobel Y             2.00           OK        
buildings08                   Sobel Y             2.00           OK        
