ImageName,FilterName,VariantName,ProcessingTime_ms,Success
buildings30,Gaussian Blur,Balanced,28.000,true
buildings31,Gaussian Blur,Balanced,33.000,true
buildings32,Gaussian Blur,Balanced,29.000,true
buildings33,Gaussian Blur,Balanced,32.000,true
buildings34,Gaussian Blur,Balanced,32.000,true
buildings35,Gaussian Blur,Balanced,26.000,true
buildings36,Gaussian Blur,Balanced,28.000,true
buildings37,Gaussian Blur,Balanced,25.000,true
buildings38,Gaussian Blur,Balanced,24.000,true
buildings39,Gaussian Blur,Balanced,23.000,true
buildings40,Gaussian Blur,Balanced,24.000,true
buildings41,Gaussian Blur,Balanced,21.000,true
buildings42,Gaussian Blur,Balanced,22.000,true
buildings43,Gaussian Blur,Balanced,25.000,true
buildings44,Gaussian Blur,Balanced,20.000,true
buildings45,Gaussian Blur,Balanced,20.000,true
buildings46,Gaussian Blur,Balanced,21.000,true
buildings47,Gaussian Blur,Balanced,22.000,true
buildings48,Gaussian Blur,Balanced,20.000,true
buildings49,Gaussian Blur,Balanced,21.000,true
buildings50,Gaussian Blur,Balanced,22.000,true
buildings51,Gaussian Blur,Balanced,25.000,true
buildings52,Gaussian Blur,Balanced,24.000,true
buildings53,Gaussian Blur,Balanced,28.000,true
buildings54,Gaussian Blur,Balanced,27.000,true
buildings55,Gaussian Blur,Balanced,34.000,true
buildings56,Gaussian Blur,Balanced,21.000,true
buildings57,Gaussian Blur,Balanced,27.000,true
buildings58,Gaussian Blur,Balanced,23.000,true
buildings59,Gaussian Blur,Balanced,31.000,true
buildings60,Gaussian Blur,Balanced,20.000,true
buildings61,Gaussian Blur,Balanced,24.000,true
buildings62,Gaussian Blur,Balanced,23.000,true
buildings63,Gaussian Blur,Balanced,22.000,true
buildings64,Gaussian Blur,Balanced,22.000,true
buildings65,Gaussian Blur,Balanced,23.000,true
buildings66,Gaussian Blur,Balanced,21.000,true
buildings67,Gaussian Blur,Balanced,20.000,true
buildings68,Gaussian Blur,Balanced,29.000,true
buildings69,Gaussian Blur,Balanced,28.000,true
buildings70,Gaussian Blur,Balanced,24.000,true
buildings71,Gaussian Blur,Balanced,22.000,true
buildings72,Gaussian Blur,Balanced,27.000,true
buildings73,Gaussian Blur,Balanced,18.000,true
buildings74,Gaussian Blur,Balanced,26.000,true
buildings75,Gaussian Blur,Balanced,26.000,true
buildings76,Gaussian Blur,Balanced,30.000,true
buildings77,Gaussian Blur,Balanced,22.000,true
buildings78,Gaussian Blur,Balanced,26.000,true
buildings79,Gaussian Blur,Balanced,26.000,true
buildings80,Gaussian Blur,Balanced,20.000,true
buildings81,Gaussian Blur,Balanced,19.000,true
buildings82,Gaussian Blur,Balanced,29.000,true
buildings83,Gaussian Blur,Balanced,20.000,true
buildings84,Gaussian Blur,Balanced,20.000,true
buildings85,Gaussian Blur,Balanced,21.000,true
buildings86,Gaussian Blur,Balanced,21.000,true
buildings87,Gaussian Blur,Balanced,22.000,true
buildings88,Gaussian Blur,Balanced,29.000,true
buildings89,Gaussian Blur,Balanced,33.000,true
buildings90,Gaussian Blur,Balanced,22.000,true
buildings91,Gaussian Blur,Balanced,20.000,true
buildings92,Gaussian Blur,Balanced,29.000,true
buildings93,Gaussian Blur,Balanced,36.000,true
buildings94,Gaussian Blur,Balanced,33.000,true
buildings95,Gaussian Blur,Balanced,23.000,true
buildings96,Gaussian Blur,Balanced,21.000,true
buildings97,Gaussian Blur,Balanced,29.000,true
buildings98,Gaussian Blur,Balanced,26.000,true
buildings99,Gaussian Blur,Balanced,26.000,true
buildings00,Gaussian Blur,Cache Optimized,28.000,true
buildings01,Gaussian Blur,Cache Optimized,24.000,true
buildings02,Gaussian Blur,Cache Optimized,23.000,true
buildings03,Gaussian Blur,Cache Optimized,25.000,true
buildings04,Gaussian Blur,Cache Optimized,29.000,true
buildings05,Gaussian Blur,Cache Optimized,23.000,true
buildings06,Gaussian Blur,Cache Optimized,22.000,true
buildings07,Gaussian Blur,Cache Optimized,25.000,true
buildings08,Gaussian Blur,Cache Optimized,22.000,true
buildings09,Gaussian Blur,Cache Optimized,22.000,true
buildings10,Gaussian Blur,Cache Optimized,29.000,true
buildings11,Gaussian Blur,Cache Optimized,20.000,true
buildings12,Gaussian Blur,Cache Optimized,23.000,true
buildings13,Gaussian Blur,Cache Optimized,24.000,true
buildings14,Gaussian Blur,Cache Optimized,31.000,true
buildings15,Gaussian Blur,Cache Optimized,26.000,true
buildings16,Gaussian Blur,Cache Optimized,26.000,true
buildings17,Gaussian Blur,Cache Optimized,25.000,true
buildings18,Gaussian Blur,Cache Optimized,22.000,true
buildings19,Gaussian Blur,Cache Optimized,20.000,true
buildings20,Gaussian Blur,Cache Optimized,21.000,true
buildings21,Gaussian Blur,Cache Optimized,21.000,true
buildings22,Gaussian Blur,Cache Optimized,22.000,true
buildings23,Gaussian Blur,Cache Optimized,21.000,true
buildings24,Gaussian Blur,Cache Optimized,25.000,true
buildings25,Gaussian Blur,Cache Optimized,22.000,true
buildings26,Gaussian Blur,Cache Optimized,20.000,true
buildings27,Gaussian Blur,Cache Optimized,29.000,true
buildings28,Gaussian Blur,Cache Optimized,25.000,true
buildings29,Gaussian Blur,Cache Optimized,30.000,true
buildings30,Gaussian Blur,Cache Optimized,21.000,true
buildings31,Gaussian Blur,Cache Optimized,28.000,true
buildings32,Gaussian Blur,Cache Optimized,25.000,true
buildings33,Gaussian Blur,Cache Optimized,30.000,true
buildings34,Gaussian Blur,Cache Optimized,22.000,true
buildings35,Gaussian Blur,Cache Optimized,24.000,true
buildings36,Gaussian Blur,Cache Optimized,21.000,true
buildings37,Gaussian Blur,Cache Optimized,22.000,true
buildings38,Gaussian Blur,Cache Optimized,27.000,true
buildings39,Gaussian Blur,Cache Optimized,21.000,true
buildings40,Gaussian Blur,Cache Optimized,33.000,true
buildings41,Gaussian Blur,Cache Optimized,22.000,true
buildings42,Gaussian Blur,Cache Optimized,21.000,true
buildings43,Gaussian Blur,Cache Optimized,21.000,true
buildings44,Gaussian Blur,Cache Optimized,20.000,true
buildings45,Gaussian Blur,Cache Optimized,20.000,true
buildings46,Gaussian Blur,Cache Optimized,25.000,true
buildings47,Gaussian Blur,Cache Optimized,22.000,true
buildings48,Gaussian Blur,Cache Optimized,22.000,true
buildings49,Gaussian Blur,Cache Optimized,21.000,true
buildings50,Gaussian Blur,Cache Optimized,21.000,true
buildings51,Gaussian Blur,Cache Optimized,22.000,true
buildings52,Gaussian Blur,Cache Optimized,21.000,true
buildings53,Gaussian Blur,Cache Optimized,22.000,true
buildings54,Gaussian Blur,Cache Optimized,27.000,true
buildings55,Gaussian Blur,Cache Optimized,32.000,true
buildings56,Gaussian Blur,Cache Optimized,26.000,true
buildings57,Gaussian Blur,Cache Optimized,21.000,true
buildings58,Gaussian Blur,Cache Optimized,32.000,true
buildings59,Gaussian Blur,Cache Optimized,24.000,true
buildings60,Gaussian Blur,Cache Optimized,26.000,true
buildings61,Gaussian Blur,Cache Optimized,24.000,true
buildings62,Gaussian Blur,Cache Optimized,29.000,true
buildings63,Gaussian Blur,Cache Optimized,21.000,true
buildings64,Gaussian Blur,Cache Optimized,22.000,true
buildings65,Gaussian Blur,Cache Optimized,22.000,true
buildings66,Gaussian Blur,Cache Optimized,21.000,true
buildings67,Gaussian Blur,Cache Optimized,22.000,true
buildings68,Gaussian Blur,Cache Optimized,21.000,true
buildings69,Gaussian Blur,Cache Optimized,21.000,true
buildings70,Gaussian Blur,Cache Optimized,24.000,true
buildings71,Gaussian Blur,Cache Optimized,21.000,true
buildings72,Gaussian Blur,Cache Optimized,21.000,true
buildings73,Gaussian Blur,Cache Optimized,21.000,true
buildings74,Gaussian Blur,Cache Optimized,28.000,true
buildings75,Gaussian Blur,Cache Optimized,21.000,true
buildings76,Gaussian Blur,Cache Optimized,21.000,true
buildings77,Gaussian Blur,Cache Optimized,23.000,true
buildings78,Gaussian Blur,Cache Optimized,24.000,true
buildings79,Gaussian Blur,Cache Optimized,27.000,true
buildings80,Gaussian Blur,Cache Optimized,28.000,true
buildings81,Gaussian Blur,Cache Optimized,23.000,true
buildings82,Gaussian Blur,Cache Optimized,21.000,true
buildings83,Gaussian Blur,Cache Optimized,24.000,true
buildings84,Gaussian Blur,Cache Optimized,27.000,true
buildings85,Gaussian Blur,Cache Optimized,31.000,true
buildings86,Gaussian Blur,Cache Optimized,29.000,true
buildings87,Gaussian Blur,Cache Optimized,24.000,true
buildings88,Gaussian Blur,Cache Optimized,22.000,true
buildings89,Gaussian Blur,Cache Optimized,22.000,true
buildings90,Gaussian Blur,Cache Optimized,22.000,true
buildings91,Gaussian Blur,Cache Optimized,20.000,true
buildings92,Gaussian Blur,Cache Optimized,22.000,true
buildings93,Gaussian Blur,Cache Optimized,20.000,true
buildings94,Gaussian Blur,Cache Optimized,21.000,true
buildings95,Gaussian Blur,Cache Optimized,21.000,true
buildings96,Gaussian Blur,Cache Optimized,21.000,true
buildings97,Gaussian Blur,Cache Optimized,23.000,true
buildings98,Gaussian Blur,Cache Optimized,26.000,true
buildings99,Gaussian Blur,Cache Optimized,21.000,true
buildings00,Gaussian Blur,Raw Array,28.000,true
buildings01,Gaussian Blur,Raw Array,19.000,true
buildings02,Gaussian Blur,Raw Array,22.000,true
buildings03,Gaussian Blur,Raw Array,29.000,true
buildings04,Gaussian Blur,Raw Array,21.000,true
buildings05,Gaussian Blur,Raw Array,24.000,true
buildings06,Gaussian Blur,Raw Array,30.000,true
buildings07,Gaussian Blur,Raw Array,24.000,true
buildings08,Gaussian Blur,Raw Array,21.000,true
buildings09,Gaussian Blur,Raw Array,23.000,true
buildings10,Gaussian Blur,Raw Array,22.000,true
buildings11,Gaussian Blur,Raw Array,20.000,true
buildings12,Gaussian Blur,Raw Array,20.000,true
buildings13,Gaussian Blur,Raw Array,20.000,true
buildings14,Gaussian Blur,Raw Array,20.000,true
buildings15,Gaussian Blur,Raw Array,22.000,true
buildings16,Gaussian Blur,Raw Array,23.000,true
buildings17,Gaussian Blur,Raw Array,22.000,true
buildings18,Gaussian Blur,Raw Array,23.000,true
buildings19,Gaussian Blur,Raw Array,25.000,true
buildings20,Gaussian Blur,Raw Array,21.000,true
buildings21,Gaussian Blur,Raw Array,24.000,true
buildings22,Gaussian Blur,Raw Array,21.000,true
buildings23,Gaussian Blur,Raw Array,20.000,true
buildings24,Gaussian Blur,Raw Array,21.000,true
buildings25,Gaussian Blur,Raw Array,21.000,true
buildings26,Gaussian Blur,Raw Array,22.000,true
buildings27,Gaussian Blur,Raw Array,22.000,true
buildings28,Gaussian Blur,Raw Array,21.000,true
buildings29,Gaussian Blur,Raw Array,22.000,true
buildings30,Gaussian Blur,Raw Array,23.000,true
buildings31,Gaussian Blur,Raw Array,23.000,true
buildings32,Gaussian Blur,Raw Array,22.000,true
buildings33,Gaussian Blur,Raw Array,21.000,true
buildings34,Gaussian Blur,Raw Array,21.000,true
buildings35,Gaussian Blur,Raw Array,21.000,true
buildings36,Gaussian Blur,Raw Array,23.000,true
buildings37,Gaussian Blur,Raw Array,21.000,true
buildings38,Gaussian Blur,Raw Array,21.000,true
buildings39,Gaussian Blur,Raw Array,24.000,true
buildings40,Gaussian Blur,Raw Array,21.000,true
